"Gene","LOF","dmis","mis","syn","dn.LoF","dn.mis3","dn.mis","dn.syn","BF.dn","pval.TADA.dn","qvalue.dn"
"SCN2A",8.91e-06,2.25e-05,5.54e-05,2.1e-05,12,14,0,0,1.2671607889884e+28,2.70372573406154e-07,0
"ARID1B",4.46e-06,4.82e-06,4.37e-05,2.73e-05,17,0,3,0,4.45169533565829e+23,2.70372573406154e-07,0
"SYNGAP1",6.54e-06,9.1e-06,5.04e-05,2.03e-05,14,1,3,1,21366380046756335616,2.70372573406154e-07,0
"STXBP1",2.92e-06,3.62e-06,2.21e-05,9.5e-06,6,9,0,0,6478890869218483,2.70372573406154e-07,6.10622663543836e-16
"ANKRD11",7.3e-06,6.19e-06,8.18e-05,4.79e-05,10,0,0,0,5986959854763.81,2.70372573406154e-07,5.23847631939134e-13
"DYRK1A",4.03e-06,3.92e-06,2.47e-05,9.38e-06,8,2,1,0,579393653553.559,2.70372573406154e-07,4.94317549855812e-12
"SCN1A",1e-05,1.58e-05,5.52e-05,2.16e-05,4,8,0,0,42685311710.8612,2.70372573406154e-07,5.66694627731782e-11
"MED13L",8.92e-06,1.1e-05,6.46e-05,2.75e-05,7,3,0,0,23999371786.0372,2.70372573406154e-07,1.3118514607946e-10
"ADNP",4.49e-06,1.54e-06,2.84e-05,1.15e-05,8,0,0,0,22686301842.2021,2.70372573406154e-07,1.93339936653084e-10
"CTNNB1",3.93e-06,2.2e-06,2.28e-05,7.64e-06,7,0,1,1,1002037603.51122,2.70372573406154e-07,1.73748683218733e-09
"WDR45",2.22e-06,2.06e-06,1.92e-05,8.92e-06,5,2,1,0,67076009.1911272,2.70372573406154e-07,2.28127897380662e-08
"TBR1",2.3e-06,4.7e-06,3.13e-05,1.88e-05,3,5,0,0,41118680.8642179,2.70372573406154e-07,5.26626223185112e-08
"CHD8",1.46e-05,1.3e-05,7.81e-05,2.63e-05,6,2,2,0,38108497.8289847,2.70372573406154e-07,8.02352465834898e-08
"POGZ",7.49e-06,4.76e-06,4.27e-05,1.65e-05,6,0,2,1,14422207.37592,2.70372573406154e-07,1.52096052752348e-07
"KMT2A",1.42e-05,1.14e-05,9.07e-05,3.68e-05,6,1,1,0,9032856.0485467,2.70372573406154e-07,2.57583380839736e-07
"CHD2",1.09e-05,8.87e-06,5.19e-05,2.02e-05,5,2,2,1,5242353.34933803,2.70372573406154e-07,4.28263843818555e-07
"WAC",3.47e-06,1.66e-06,1.7e-05,7.52e-06,5,0,0,0,1928991.55192663,2.70372573406154e-07,8.80814299262495e-07
"SATB2",3.21e-06,6.18e-06,2.51e-05,1.14e-05,4,2,3,0,1751387.87672081,2.70372573406154e-07,1.32883609790493e-06
"EP300",1.27e-05,1.32e-05,6.84e-05,2.6e-05,5,1,0,1,545058.544661844,2.70372573406154e-07,2.77164807199456e-06
